Time,Channel A,Channel B
(us),(mV),(V)

-3.26597822,24.53688000,-2.07235900
-3.21597822,21.54607000,-2.16711900
-3.16597822,18.11273000,-2.26935600
-3.11597823,15.09140000,-2.35328200
-3.06597823,11.64281000,-2.44712700
-3.01597823,8.65199800,-2.52678000
-2.96597824,5.09659100,-2.61345300
-2.91597824,1.87688800,-2.68532400
-2.86597824,-1.93792500,-2.76436700
-2.81597825,-5.38651700,-2.83074400
-2.76597825,-9.18607000,-2.90108900
-2.71597825,-12.29896000,-2.95754900
-2.66597825,-16.28162000,-3.01767000
-2.61597826,-20.08118000,-3.06604200
-2.56597826,-24.30799000,-3.11670300
-2.51597826,-27.92443000,-3.15683500
-2.46597827,-31.98340000,-3.19803500
-2.41597827,-35.43199000,-3.23007900
-2.36597827,-39.58250000,-3.26136000
-2.31597827,-43.36680000,-3.28424900
-2.26597828,-47.50206000,-3.30439200
-2.21597828,-50.93539000,-3.31675200
-2.16597828,-55.10117000,-3.32621200
-2.11597829,-58.91598000,-3.33048500
-2.06597829,-63.08175000,-3.33094300
-2.01597829,-66.56087000,-3.32758600
-1.96597830,-70.49776000,-3.31705700
-1.91597830,-73.87005000,-3.30179800
-1.86597830,-77.77642000,-3.28028200
-1.81597830,-81.25553000,-3.25754600
-1.76597831,-85.05508000,-3.22656900
-1.71597831,-88.59523000,-3.19498300
-1.66597831,-89.25138000,-3.15515600
-1.61597832,-87.61864000,-3.11670300
-1.56597832,-78.31049000,-3.07077200
-1.51597832,-62.65450000,-3.02957200
-1.46597833,-53.25480000,-2.97341800
-1.41597833,-51.82043000,-2.91665400
-1.36597833,-48.44813000,-2.84951300
-1.31597833,-44.58754000,-2.78908700
-1.26597834,-41.44413000,-2.71279000
-1.21597834,-39.75036000,-2.64015600
-1.16597834,-37.78191000,-2.55455200
-1.11597835,-36.17969000,-2.47734000
-1.06597835,-33.98236000,-2.38471600
-1.01597835,-31.66295000,-2.30018000
